Ankylosaurus,Late Cretaceous,Herbivore,8 meters,"A walking tank covered in thick armor plates and knobbed osteoderms, ending in a heavy, bone-breaking tail club.",/images/ankylosaurus.png
Brachiosaurus,Late Jurassic,Herbivore,23 meters,"A giant long-necked sauropod with longer front legs than hind legs, allowing it to reach high canopy foliage.",/images/brachiosaurus.png
Brontosaurus,Late Jurassic,Herbivore,22 meters,"A massive, long-necked sauropod with a heavy whip-like tail, sturdy pillar-like legs, and broad feet.",/images/brontosaurus.png
Dilophosaurus,Early Jurassic,Carnivore,7 meters,"A fast, slender bipedal predator distinctive for the pair of longitudinal crests running along the top of its skull.",/images/dilophosaurus.png
Parasaurolophus,Late Cretaceous,Herbivore,9.5 meters,"A duck-billed hadrosaur known for its long curved crest, used to emit low-frequency acoustic sounds.",/images/parasaurolophus.png
Pteranodon,Late Cretaceous,Carnivore (Piscivore),6 meter wingspan,"A famous flying reptile (pterosaur, closely related to dinosaurs) with a large backward-pointing head crest and toothless beak.",/images/pteranodon.png
Stegosaurus,Late Jurassic,Herbivore,9 meters,Famous for its dual row of large kite-shaped plates along its back and four sharp spikes (thagomizer) on its tail.,/images/stegosaurus.png
Triceratops,Late Cretaceous,Herbivore,9 meters,Recognizable by its large bony frill and three sharp facial horns used for defense.,/images/triceratop.png
Tyrannosaurus Rex,Late Cretaceous,Carnivore,12 meters,"One of the largest land predators known, equipped with massive jaws and sharp serrated teeth.",/images/trex.png
Velociraptor,Late Cretaceous,Carnivore,2 meters,"A agile, feathered bipedal predator featuring a enlarged sickle-shaped claw on each hind foot.",/images/velociraptor.png
